SNo,District Code,Block Code,FTO No.,Financial Institution,Signatory Date,No of Transaction,Amount(In Rs.),No of Transaction Processed,Amount(In Rs.),No of Transaction Rejected,Amount(In Rs.),Total Processed Amount(In Rs.),No of Invalid Account
59,212,212028,AP0212028_070422APB_FTO_2525,Bank,08-04-2022,1,30180,30,30180,0,0,30180,0
60,212,212028,AP0212028_070422FTO_2528,Bank To Cooperative,08-04-2022,1,217,0,0,0,0,0,0
61,212,212034,AP0212034_070422FTO_2861,Bank,07-04-2022,1,1357,5,1357,0,0,1357,0
62,212,212034,AP0212034_070422APB_FTO_2867,Bank,07-04-2022,1,20411,59,20217,1,194,20217,0
63,212,212034,AP0212034_070422APB_FTO_2870,Bank,07-04-2022,1,8968,26,8968,0,0,8968,0
64,212,212032,AP0212032_070422FTO_3349,Bank,07-04-2022,1,7227,6,7227,0,0,7227,0
65,212,212032,AP0212032_070422APB_FTO_3367,Bank,07-04-2022,1,112231,112,109885,2,2346,109885,0
66,212,212004,AP0212004_070422FTO_3440,Bank,07-04-2022,1,3341,7,3341,0,0,3341,0
67,212,212004,AP0212004_070422APB_FTO_3444,Bank,07-04-2022,1,15420,36,15420,0,0,15420,0
68,212,212032,AP0212032_070422FTO_3783,Bank,07-04-2022,1,16997,30,16305,1,692,16305,0
69,212,212032,AP0212032_070422APB_FTO_3794,Bank,07-04-2022,1,66886,84,65980,1,906,65980,0
70,212,212011,AP0212011_070422FTO_3805,Bank,07-04-2022,1,993,15,993,0,0,993,0
71,212,212014,AP0212014_070422FTO_3815,Bank,07-04-2022,1,6279,7,6279,0,0,6279,0
72,212,212014,AP0212014_070422APB_FTO_3824,Bank,07-04-2022,1,17874,20,17874,0,0,17874,0
73,212,212028,AP0212028_070422FTO_3869,Bank,08-04-2022,1,6820,9,6820,0,0,6820,0
74,212,212028,AP0212028_070422APB_FTO_3887,Bank,08-04-2022,1,222307,258,220165,2,2142,220165,0
75,212,212026,AP0212026_070422FTO_4026,Bank,07-04-2022,1,10662,13,10662,0,0,10662,0
76,212,212007,AP0212007_070422FTO_4065,Bank,07-04-2022,1,19583,41,18671,2,912,18671,0
77,212,212007,AP0212007_070422APB_FTO_4086,Bank,07-04-2022,1,225134,515,223407,6,1727,223407,0
78,212,212019,AP0212019_080422FTO_4694,Bank,11-04-2022,1,24606,43,24606,0,0,24606,0
79,212,212028,AP0212028_080422FTO_4705,Bank,08-04-2022,1,3306,6,3306,0,0,3306,0
80,212,212019,AP0212019_080422APB_FTO_4710,Bank,11-04-2022,1,125806,219,123660,4,2146,123660,0
81,212,212028,AP0212028_080422APB_FTO_4725,Bank,08-04-2022,1,46680,100,46680,0,0,46680,0
82,212,212028,AP0212028_080422APB_FTO_4995,Bank,08-04-2022,1,41474,79,41474,0,0,41474,0
83,212,212010,AP0212010_080422FTO_5163,Bank,08-04-2022,1,26072,42,26072,0,0,26072,0
84,212,212010,AP0212010_080422APB_FTO_5215,Bank,08-04-2022,1,180058,228,180058,0,0,180058,0
85,212,212002,AP0212002_080422FTO_5220,Bank,08-04-2022,1,28589,31,28159,1,430,28159,0
86,212,212010,AP0212010_080422FTO_5250,Bank To Cooperative,08-04-2022,1,930,0,0,0,0,0,0
87,212,212002,AP0212002_080422APB_FTO_5264,Bank,08-04-2022,1,94815,121,93260,2,1555,93260,0
88,212,212010,AP0212010_080422FTO_5331,Bank,08-04-2022,1,4045,6,4045,0,0,4045,0
89,212,212016,AP0212016_080422APB_FTO_5350,Bank,08-04-2022,1,127820,199,126840,1,980,126840,0
90,212,212010,AP0212010_080422APB_FTO_5360,Bank,08-04-2022,1,57106,101,56496,1,610,56496,0
91,212,212016,AP0212016_080422FTO_5366,Bank,08-04-2022,1,17990,27,17990,0,0,17990,0
92,212,212016,AP0212016_080422FTO_5373,Bank,08-04-2022,1,7035,13,7035,0,0,7035,0
93,212,212016,AP0212016_080422APB_FTO_5383,Bank,08-04-2022,1,22134,38,22134,0,0,22134,0
94,212,212025,AP0212025_080422FTO_5435,Bank,08-04-2022,1,9730,10,9730,0,0,9730,0
95,212,212025,AP0212025_080422APB_FTO_5459,Bank,08-04-2022,1,46771,53,45240,2,1531,45240,0
96,212,212013,AP0212013_080422FTO_5479,Bank,08-04-2022,1,11806,30,11806,0,0,11806,0
97,212,212013,AP0212013_080422APB_FTO_5499,Bank,08-04-2022,1,110106,246,109701,3,405,109701,0
98,212,212022,AP0212022_080422FTO_5522,Bank,08-04-2022,1,43052,36,43052,0,0,43052,0
99,212,212022,AP0212022_080422APB_FTO_5526,Bank,08-04-2022,1,73369,66,73369,0,0,73369,0
100,212,212024,AP0212024_080422APB_FTO_5543,Bank,08-04-2022,1,73368,107,71825,2,1543,71825,0
101,212,212017,AP0212017_080422APB_FTO_5710,Bank,08-04-2022,1,101000,173,100405,1,595,100405,0
102,212,212034,AP0212034_080422FTO_5790,Bank,08-04-2022,1,13926,14,13242,1,684,13242,0
103,212,212034,AP0212034_080422APB_FTO_5805,Bank,08-04-2022,1,51003,61,51003,0,0,51003,0
104,212,212021,AP0212021_080422APB_FTO_5809,Bank,08-04-2022,1,106835,118,106835,0,0,106835,0
105,212,212034,AP0212034_080422APB_FTO_5822,Bank,08-04-2022,1,49504,49,48196,1,1308,48196,0
106,212,212034,AP0212034_080422APB_FTO_5828,Bank,08-04-2022,1,27549,55,27549,0,0,27549,0
107,212,212014,AP0212014_080422FTO_5871,Bank,08-04-2022,1,20962,35,20962,0,0,20962,0
108,212,212006,AP0212006_080422FTO_5906,Bank,08-04-2022,1,27641,37,26404,2,1237,26404,0
109,212,212014,AP0212014_080422APB_FTO_5928,Bank,08-04-2022,1,104115,177,102359,3,1756,102359,0
110,212,212006,AP0212006_080422APB_FTO_5953,Bank,08-04-2022,1,112866,161,110332,2,2534,110332,0
111,212,212022,AP0212022_080422APB_FTO_6010,Bank,08-04-2022,1,46492,53,43978,2,2514,43978,0
112,212,212028,AP0212028_080422APB_FTO_6014,Bank,08-04-2022,1,980,1,980,0,0,980,0
113,212,212005,AP0212005_080422FTO_6030,Bank,08-04-2022,1,19210,30,19210,0,0,19210,0
114,212,212023,AP0212023_080422FTO_6036,Bank,08-04-2022,1,4168,6,4168,0,0,4168,0
115,212,212005,AP0212005_080422APB_FTO_6117,Bank,08-04-2022,1,131627,194,123133,13,8494,123133,0
116,212,212020,AP0212020_080422FTO_6136,Bank,08-04-2022,1,2983,3,2983,0,0,2983,0
