SNo,District Code,Block Code,FTO No.,Financial Institution,Signatory Date,No of Transaction,Amount(In Rs.),No of Transaction Processed,Amount(In Rs.),No of Transaction Rejected,Amount(In Rs.),Total Processed Amount(In Rs.),No of Invalid Account
1265,212,212022,AP0212022_240422FTO_29823,Bank,24-04-2022,1,130562,112,127000,3,3562,127000,0
1266,212,212024,AP0212024_240422APB_FTO_29824,Bank,24-04-2022,1,141279,147,138293,3,2986,138293,0
1267,212,212028,AP0212028_240422FTO_29830,Bank,24-04-2022,1,26629,20,26629,0,0,26629,0
1268,212,212012,AP0212012_240422FTO_29833,Bank,24-04-2022,1,2466,3,2466,0,0,2466,0
1269,212,212001,AP0212001_240422FTO_29833,Bank,24-04-2022,1,50818,62,50818,0,0,50818,0
1270,212,212027,AP0212027_240422APB_FTO_29834,Bank,24-04-2022,1,43697,49,42692,1,1005,42692,0
1271,212,212014,AP0212014_240422APB_FTO_29842,Bank,24-04-2022,1,149047,133,147092,2,1955,147092,0
1272,212,212022,AP0212022_240422APB_FTO_29844,Bank,24-04-2022,1,713832,633,699656,12,14176,699656,0
1273,212,212014,AP0212014_240422APB_FTO_29844,Bank,24-04-2022,1,133905,133,133905,0,0,133905,0
1274,212,212024,AP0212024_240422APB_FTO_29845,Bank,24-04-2022,1,173422,149,172523,1,899,172523,0
1275,212,212032,AP0212032_240422FTO_29845,Bank,24-04-2022,1,31148,30,29948,1,1200,29948,0
1276,212,212024,AP0212024_240422APB_FTO_29846,Bank,24-04-2022,1,196395,148,192684,3,3711,192684,0
1277,212,212012,AP0212012_240422APB_FTO_29848,Bank,24-04-2022,1,95248,100,94230,1,1018,94230,0
1278,212,212027,AP0212027_240422APB_FTO_29850,Bank,24-04-2022,1,42930,50,42930,0,0,42930,0
1279,212,212032,AP0212032_240422APB_FTO_29850,Bank,24-04-2022,1,279854,268,276782,3,3072,276782,0
1280,212,212028,AP0212028_240422APB_FTO_29851,Bank,24-04-2022,1,963244,796,961890,1,1354,961890,0
1281,212,212012,AP0212012_240422APB_FTO_29852,Bank,24-04-2022,1,64939,100,64939,0,0,64939,0
1282,212,212027,AP0212027_240422APB_FTO_29853,Bank,24-04-2022,1,45380,50,45380,0,0,45380,0
1283,212,212014,AP0212014_240422APB_FTO_29853,Bank,24-04-2022,1,66448,62,66448,0,0,66448,0
1284,212,212014,AP0212014_240422APB_FTO_29854,Bank,24-04-2022,1,100330,79,98860,1,1470,98860,0
1285,212,212014,AP0212014_240422FTO_29860,Bank,24-04-2022,1,7376,6,7376,0,0,7376,0
1286,212,212012,AP0212012_240422APB_FTO_29861,Bank,24-04-2022,1,85962,109,85962,0,0,85962,0
1287,212,212027,AP0212027_240422APB_FTO_29868,Bank,24-04-2022,1,44950,48,43152,2,1798,43152,0
1288,212,212027,AP0212027_240422APB_FTO_29869,Bank,24-04-2022,1,45954,49,45054,1,900,45054,0
1289,212,212012,AP0212012_240422APB_FTO_29873,Bank,24-04-2022,1,106888,150,102322,6,4566,102322,0
1290,212,212027,AP0212027_240422APB_FTO_29879,Bank,24-04-2022,1,69000,50,69000,0,0,69000,0
1291,212,212028,AP0212028_240422APB_FTO_29884,Bank,24-04-2022,1,747591,678,747591,0,0,747591,0
1292,212,212012,AP0212012_240422APB_FTO_29884,Bank,24-04-2022,1,111028,162,110314,1,714,110314,0
1293,212,212020,AP0212020_240422FTO_29886,Bank,24-04-2022,1,143727,120,142284,1,1443,142284,0
1294,212,212027,AP0212027_240422APB_FTO_29888,Bank,24-04-2022,1,68540,50,68540,0,0,68540,0
1295,212,212010,AP0212010_240422FTO_29890,Bank,24-04-2022,1,62171,64,61271,1,900,61271,0
1296,212,212027,AP0212027_240422APB_FTO_29893,Bank,24-04-2022,1,70380,51,70380,0,0,70380,0
1297,212,212006,AP0212006_240422FTO_29894,Bank,24-04-2022,1,120059,116,118889,1,1170,118889,0
1298,212,212026,AP0212026_240422FTO_29895,Bank,24-04-2022,1,222865,198,219466,3,3399,219466,0
1299,212,212027,AP0212027_240422APB_FTO_29897,Bank,24-04-2022,1,69000,49,67620,1,1380,67620,0
1300,212,212027,AP0212027_240422APB_FTO_29904,Bank,24-04-2022,1,66600,50,66600,0,0,66600,0
1301,212,212020,AP0212020_240422APB_FTO_29905,Bank,24-04-2022,1,933848,789,921865,10,11983,921865,0
1302,212,212027,AP0212027_240422APB_FTO_29905,Bank,24-04-2022,1,72712,50,72712,0,0,72712,0
1303,212,212011,AP0212011_240422FTO_29906,Bank,24-04-2022,1,104702,107,103054,2,1648,103054,0
1304,212,212027,AP0212027_240422APB_FTO_29909,Bank,24-04-2022,1,68560,50,68560,0,0,68560,0
1305,212,212006,AP0212006_240422APB_FTO_29913,Bank,24-04-2022,1,234625,217,230404,4,4221,230404,0
1306,212,212023,AP0212023_240422APB_FTO_29917,Bank,24-04-2022,1,311386,254,308221,3,3165,308221,0
1307,212,212006,AP0212006_240422APB_FTO_29919,Bank,24-04-2022,1,55316,50,54512,1,804,54512,0
1308,212,212010,AP0212010_240422APB_FTO_29919,Bank,24-04-2022,1,716889,778,712194,5,4695,712194,0
1309,212,212027,AP0212027_240422APB_FTO_29919,Bank,24-04-2022,1,69050,49,67669,1,1381,67669,0
1310,212,212027,AP0212027_240422APB_FTO_29924,Bank,24-04-2022,1,63482,49,62101,1,1381,62101,0
1311,212,212023,AP0212023_240422FTO_29925,Bank,24-04-2022,1,74496,54,73516,1,980,73516,0
1312,212,212027,AP0212027_240422APB_FTO_29928,Bank,24-04-2022,1,48973,50,48973,0,0,48973,0
1313,212,212023,AP0212023_240422APB_FTO_29930,Bank,24-04-2022,1,40084,40,40084,0,0,40084,0
1314,212,212027,AP0212027_240422APB_FTO_29934,Bank,24-04-2022,1,47610,50,47610,0,0,47610,0
1315,212,212023,AP0212023_240422APB_FTO_29937,Bank,24-04-2022,1,46958,41,45786,1,1172,45786,0
1316,212,212006,AP0212006_240422APB_FTO_29938,Bank,24-04-2022,1,202614,176,200200,2,2414,200200,0
1317,212,212019,AP0212019_240422FTO_29938,Bank,24-04-2022,1,10264,11,10063,1,201,10063,0
1318,212,212027,AP0212027_240422APB_FTO_29939,Bank,24-04-2022,1,53950,48,51792,2,2158,51792,0
1319,212,212019,AP0212019_240422APB_FTO_29940,Bank,24-04-2022,1,52364,55,50207,2,2157,50207,0
1320,212,212023,AP0212023_240422APB_FTO_29943,Bank,24-04-2022,1,40912,39,40912,0,0,40912,0
1321,212,212027,AP0212027_240422APB_FTO_29945,Bank,24-04-2022,1,49801,49,48722,1,1079,48722,0
1322,212,212023,AP0212023_240422APB_FTO_29946,Bank,24-04-2022,1,59461,55,59461,0,0,59461,0
1323,212,212001,AP0212001_240422APB_FTO_29946,Bank,24-04-2022,1,562903,789,556761,8,6142,556761,0
1324,212,212011,AP0212011_240422APB_FTO_29947,Bank,24-04-2022,1,785024,779,769721,15,15303,769721,0
1325,212,212027,AP0212027_240422APB_FTO_29948,Bank,24-04-2022,1,46782,50,46782,0,0,46782,0
1326,212,212006,AP0212006_240422APB_FTO_29949,Bank,24-04-2022,1,171716,187,169924,3,1792,169924,0
1327,212,212023,AP0212023_240422FTO_29953,Bank,24-04-2022,1,6907,6,5800,1,1107,5800,0
1328,212,212026,AP0212026_240422APB_FTO_29955,Bank,24-04-2022,1,28951,55,28951,0,0,28951,0
1329,212,212027,AP0212027_240422APB_FTO_29956,Bank,24-04-2022,1,55872,50,55872,0,0,55872,0
1330,212,212023,AP0212023_240422APB_FTO_29961,Bank,24-04-2022,1,33472,34,33472,0,0,33472,0
1331,212,212027,AP0212027_240422APB_FTO_29962,Bank,24-04-2022,1,63545,49,62245,1,1300,62245,0
1332,212,212006,AP0212006_240422APB_FTO_29962,Bank,24-04-2022,1,153316,156,151591,2,1725,151591,0
1333,212,212011,AP0212011_240422FTO_29963,Bank,24-04-2022,1,5453,7,5453,0,0,5453,0
1334,212,212027,AP0212027_240422APB_FTO_29966,Bank,24-04-2022,1,64763,50,64763,0,0,64763,0
1335,212,212027,AP0212027_240422APB_FTO_29969,Bank,24-04-2022,1,64026,49,62733,1,1293,62733,0
1336,212,212006,AP0212006_240422APB_FTO_29969,Bank,24-04-2022,1,114994,114,114994,0,0,114994,0
1337,212,212026,AP0212026_240422APB_FTO_29971,Bank,24-04-2022,1,291067,238,286812,4,4255,286812,0
1338,212,212027,AP0212027_240422APB_FTO_29974,Bank,24-04-2022,1,64749,50,64749,0,0,64749,0
1339,212,212027,AP0212027_240422APB_FTO_29976,Bank,24-04-2022,1,61524,50,61524,0,0,61524,0
1340,212,212008,AP0212008_240422FTO_29976,Bank,24-04-2022,1,42797,40,41645,1,1152,41645,0
1341,212,212027,AP0212027_240422APB_FTO_29984,Bank,24-04-2022,1,52203,50,52203,0,0,52203,0
1342,212,212027,AP0212027_240422APB_FTO_29987,Bank,24-04-2022,1,44771,50,44771,0,0,44771,0
1343,212,212027,AP0212027_240422APB_FTO_29989,Bank,24-04-2022,1,33850,50,33850,0,0,33850,0
1344,212,212001,AP0212001_240422APB_FTO_29989,Bank,24-04-2022,1,578603,794,575407,3,3196,575407,0
1345,212,212026,AP0212026_240422APB_FTO_29990,Bank,24-04-2022,1,430608,383,422362,7,8246,422362,0
1346,212,212027,AP0212027_240422APB_FTO_29993,Bank,24-04-2022,1,55592,47,52392,3,3200,52392,0
1347,212,212027,AP0212027_240422APB_FTO_29998,Bank,24-04-2022,1,50467,50,50467,0,0,50467,0
1348,212,212026,AP0212026_240422APB_FTO_30002,Bank,24-04-2022,1,94508,112,92910,2,1598,92910,0
1349,212,212011,AP0212011_240422APB_FTO_30003,Bank,24-04-2022,1,782069,739,777287,5,4782,777287,0
1350,212,212027,AP0212027_240422APB_FTO_30003,Bank,24-04-2022,1,18850,48,18096,2,754,18096,0
1351,212,212027,AP0212027_240422APB_FTO_30005,Bank,24-04-2022,1,18850,50,18850,0,0,18850,0
1352,212,212027,AP0212027_240422APB_FTO_30008,Bank,24-04-2022,1,17090,46,17090,0,0,17090,0
1353,212,212008,AP0212008_240422APB_FTO_30009,Bank,24-04-2022,1,463361,448,452160,11,11201,452160,0
1354,212,212027,AP0212027_240422FTO_30013,Bank,24-04-2022,1,53739,39,42684,11,11055,42684,0
1355,212,212027,AP0212027_240422FTO_30016,Bank,24-04-2022,1,46431,44,40200,6,6231,40200,0
1356,212,212005,AP0212005_240422FTO_30018,Bank,24-04-2022,1,151563,143,149217,2,2346,149217,0
1357,212,212027,AP0212027_240422FTO_30020,Bank,24-04-2022,1,54542,41,45317,9,9225,45317,0
1358,212,212027,AP0212027_240422FTO_30023,Bank,24-04-2022,1,60008,43,50926,7,9082,50926,0
1359,212,212027,AP0212027_240422FTO_30024,Bank,24-04-2022,1,50717,46,46255,4,4462,46255,0
1360,212,212027,AP0212027_240422FTO_30025,Bank,24-04-2022,1,30547,34,29319,1,1228,29319,0
1361,212,212018,AP0212018_240422FTO_30046,Bank,24-04-2022,1,97191,96,95376,2,1815,95376,0
1362,212,212027,AP0212027_240422APB_FTO_30050,Bank,24-04-2022,1,58700,50,58700,0,0,58700,0
1363,212,212027,AP0212027_240422APB_FTO_30057,Bank,24-04-2022,1,58700,50,58700,0,0,58700,0
1364,212,212018,AP0212018_240422APB_FTO_30058,Bank,24-04-2022,1,776960,793,774340,3,2620,774340,0
1365,212,212005,AP0212005_240422APB_FTO_30058,Bank,24-04-2022,1,778376,773,753219,26,25157,753219,0
1366,212,212027,AP0212027_240422APB_FTO_30059,Bank,24-04-2022,1,57381,50,57381,0,0,57381,0
1367,212,212027,AP0212027_240422APB_FTO_30064,Bank,24-04-2022,1,58700,50,58700,0,0,58700,0
1368,212,212007,AP0212007_240422FTO_30067,Bank,24-04-2022,1,75078,66,71672,3,3406,71672,0
1369,212,212027,AP0212027_240422APB_FTO_30068,Bank,24-04-2022,1,57917,50,57917,0,0,57917,0
1370,212,212027,AP0212027_240422APB_FTO_30077,Bank,24-04-2022,1,60365,50,60365,0,0,60365,0
1371,212,212027,AP0212027_240422APB_FTO_30082,Bank,24-04-2022,1,52405,50,52405,0,0,52405,0
1372,212,212027,AP0212027_240422APB_FTO_30092,Bank,24-04-2022,1,27250,50,27250,0,0,27250,0
1373,212,212027,AP0212027_240422APB_FTO_30095,Bank,24-04-2022,1,46180,50,46180,0,0,46180,0
1374,212,212014,AP0212014_240422FTO_30098,Bank,24-04-2022,1,7509,8,7509,0,0,7509,0
1375,212,212014,AP0212014_240422APB_FTO_30104,Bank,24-04-2022,1,88282,76,88282,0,0,88282,0
1376,212,212027,AP0212027_240422APB_FTO_30106,Bank,24-04-2022,1,67700,49,66346,1,1354,66346,0
1377,212,212014,AP0212014_240422APB_FTO_30116,Bank,24-04-2022,1,62504,75,62504,0,0,62504,0
1378,212,212014,AP0212014_240422APB_FTO_30118,Bank,24-04-2022,1,44328,55,43638,1,690,43638,0
1379,212,212007,AP0212007_240422FTO_30124,Bank,24-04-2022,1,69543,69,69543,0,0,69543,0
1380,212,212027,AP0212027_240422APB_FTO_30138,Bank,24-04-2022,1,67700,47,63638,3,4062,63638,0
1381,212,212022,AP0212022_240422FTO_30142,Bank,24-04-2022,1,56421,54,51943,4,4478,51943,0
1382,212,212027,AP0212027_240422APB_FTO_30145,Bank,24-04-2022,1,67700,50,67700,0,0,67700,0
1383,212,212007,AP0212007_240422APB_FTO_30148,Bank,24-04-2022,1,803434,789,792580,10,10854,792580,0
1384,212,212001,AP0212001_240422FTO_30149,Bank,26-04-2022,1,5947,12,5947,0,0,5947,0
1385,212,212022,AP0212022_240422APB_FTO_30150,Bank,24-04-2022,1,295121,284,288990,7,6131,288990,0
1386,212,212001,AP0212001_240422APB_FTO_30162,Bank,26-04-2022,1,356276,400,355252,1,1024,355252,0
1387,212,212027,AP0212027_240422APB_FTO_30166,Bank,25-04-2022,1,68300,49,66946,1,1354,66946,0
1388,212,212027,AP0212027_240422APB_FTO_30169,Bank,25-04-2022,1,69054,51,69054,0,0,69054,0
1389,212,212007,AP0212007_240422APB_FTO_30172,Bank,24-04-2022,1,712296,719,701715,10,10581,701715,0
1390,212,212027,AP0212027_240422APB_FTO_30175,Bank,25-04-2022,1,54960,50,54960,0,0,54960,0
1391,212,212027,AP0212027_240422APB_FTO_30179,Bank,25-04-2022,1,57000,50,57000,0,0,57000,0
1392,212,212027,AP0212027_240422APB_FTO_30184,Bank,25-04-2022,1,49308,49,47028,2,2280,47028,0
1393,212,212001,AP0212001_240422APB_FTO_30187,Bank,26-04-2022,1,499761,632,495837,6,3924,495837,0
1394,212,212027,AP0212027_240422APB_FTO_30187,Bank,25-04-2022,1,41314,49,40650,1,664,40650,0
1395,212,212029,AP0212029_240422FTO_30188,Bank,24-04-2022,1,13155,14,13155,0,0,13155,0
1396,212,212027,AP0212027_240422APB_FTO_30189,Bank,25-04-2022,1,64228,50,64228,0,0,64228,0
1397,212,212027,AP0212027_240422APB_FTO_30191,Bank,25-04-2022,1,55600,50,55600,0,0,55600,0
1398,212,212027,AP0212027_240422APB_FTO_30197,Bank,25-04-2022,1,61700,49,60406,1,1294,60406,0
1399,212,212027,AP0212027_240422APB_FTO_30201,Bank,25-04-2022,1,66122,50,66122,0,0,66122,0
1400,212,212029,AP0212029_240422APB_FTO_30202,Bank,24-04-2022,1,367076,359,364399,3,2677,364399,0
1401,212,212027,AP0212027_240422APB_FTO_30203,Bank,25-04-2022,1,67700,48,64992,2,2708,64992,0
1402,212,212027,AP0212027_240422APB_FTO_30205,Bank,25-04-2022,1,56855,50,56855,0,0,56855,0
1403,212,212027,AP0212027_240422APB_FTO_30207,Bank,25-04-2022,1,58656,53,58656,0,0,58656,0
1404,212,212006,AP0212006_240422FTO_30208,Bank,24-04-2022,1,8984,11,8984,0,0,8984,0
1405,212,212027,AP0212027_240422FTO_30212,Bank,25-04-2022,1,67520,46,62104,4,5416,62104,0
1406,212,212014,AP0212014_240422FTO_30214,Bank,24-04-2022,1,4363,3,4363,0,0,4363,0
1407,212,212027,AP0212027_240422FTO_30215,Bank,25-04-2022,1,54617,46,51213,4,3404,51213,0
1408,212,212006,AP0212006_240422APB_FTO_30218,Bank,24-04-2022,1,53457,62,53457,0,0,53457,0
1409,212,212027,AP0212027_240422FTO_30219,Bank,25-04-2022,1,58711,48,56003,2,2708,56003,0
1410,212,212027,AP0212027_240422FTO_30220,Bank,25-04-2022,1,31584,25,28200,3,3384,28200,0
1411,212,212014,AP0212014_240422APB_FTO_30227,Bank,24-04-2022,1,98513,71,98513,0,0,98513,0
1412,212,212022,AP0212022_240422FTO_30232,Bank,25-04-2022,1,32280,39,32280,0,0,32280,0
1413,212,212022,AP0212022_240422APB_FTO_30234,Bank,25-04-2022,1,65428,71,65428,0,0,65428,0
1414,212,212024,AP0212024_240422APB_FTO_30258,Bank,25-04-2022,1,394250,316,384339,9,9911,384339,0
1415,212,212018,AP0212018_240422FTO_30260,Bank,24-04-2022,1,31791,42,30291,1,1500,30291,0
1416,212,212018,AP0212018_240422APB_FTO_30268,Bank,24-04-2022,1,500865,587,497921,5,2944,497921,0
1417,212,212016,AP0212016_240422FTO_30287,Bank,24-04-2022,1,101331,82,95737,6,5594,95737,0
1418,212,212016,AP0212016_240422FTO_30291,Bank,24-04-2022,1,5777,5,5777,0,0,5777,0
1419,212,212016,AP0212016_240422APB_FTO_30310,Bank,24-04-2022,1,262036,205,255983,5,6053,255983,0
1420,212,212016,AP0212016_240422APB_FTO_30317,Bank,24-04-2022,1,262338,216,257932,4,4406,257932,0
1421,212,212016,AP0212016_240422APB_FTO_30318,Bank,24-04-2022,1,142789,134,140259,2,2530,140259,0
1422,212,212016,AP0212016_240422APB_FTO_30321,Bank,24-04-2022,1,144853,155,142303,3,2550,142303,0
1423,212,212013,AP0212013_240422FTO_30346,Bank,24-04-2022,1,14664,15,14664,0,0,14664,0
1424,212,212013,AP0212013_240422APB_FTO_30349,Bank,24-04-2022,1,155248,189,155248,0,0,155248,0
1425,212,212017,AP0212017_240422FTO_30355,Bank,24-04-2022,1,25331,25,22881,2,2450,22881,0
1426,212,212034,AP0212034_240422FTO_30355,Bank,25-04-2022,1,11892,11,10111,2,1781,10111,0
1427,212,212034,AP0212034_240422APB_FTO_30361,Bank,25-04-2022,1,109797,99,108915,1,882,108915,0
1428,212,212018,AP0212018_240422FTO_30363,Bank,25-04-2022,1,5681,6,5681,0,0,5681,0
1429,212,212034,AP0212034_240422APB_FTO_30364,Bank,25-04-2022,1,89431,100,89431,0,0,89431,0
1430,212,212018,AP0212018_240422APB_FTO_30365,Bank,25-04-2022,1,89318,148,87308,3,2010,87308,0
1431,212,212034,AP0212034_240422APB_FTO_30365,Bank,25-04-2022,1,79961,67,77382,3,2579,77382,0
1432,212,212017,AP0212017_240422APB_FTO_30367,Bank,24-04-2022,1,234622,241,229468,6,5154,229468,0
1433,212,212018,AP0212018_250422FTO_30386,Bank,25-04-2022,1,13829,11,13829,0,0,13829,0
1434,212,212018,AP0212018_250422APB_FTO_30387,Bank,25-04-2022,1,101238,80,101238,0,0,101238,0
1435,212,212021,AP0212021_250422FTO_30390,Bank,25-04-2022,1,20337,21,20337,0,0,20337,0
1436,212,212021,AP0212021_250422APB_FTO_30391,Bank,25-04-2022,1,126937,132,123309,4,3628,123309,0
1437,212,212034,AP0212034_250422FTO_30444,Bank,25-04-2022,1,32628,30,31059,2,1569,31059,0
1438,212,212034,AP0212034_250422APB_FTO_30446,Bank,25-04-2022,1,123662,99,122339,1,1323,122339,0
1439,212,212034,AP0212034_250422APB_FTO_30447,Bank,25-04-2022,1,102926,100,102926,0,0,102926,0
1440,212,212034,AP0212034_250422APB_FTO_30449,Bank,25-04-2022,1,91323,99,90309,1,1014,90309,0
1441,212,212034,AP0212034_250422APB_FTO_30451,Bank,25-04-2022,1,30180,41,29474,1,706,29474,0
1442,212,212025,AP0212025_250422FTO_30456,Bank,25-04-2022,1,8397,14,8397,0,0,8397,0
1443,212,212025,AP0212025_250422APB_FTO_30460,Bank,25-04-2022,1,65805,105,65805,0,0,65805,0
1444,212,212024,AP0212024_250422APB_FTO_30465,Bank,25-04-2022,1,230668,202,229978,1,690,229978,0
1445,212,212024,AP0212024_250422APB_FTO_30473,Bank,25-04-2022,1,244903,218,244104,1,799,244104,0
1446,212,212002,AP0212002_250422FTO_30501,Bank,25-04-2022,1,20453,23,20453,0,0,20453,0
1447,212,212002,AP0212002_250422APB_FTO_30506,Bank,25-04-2022,1,225361,263,223197,2,2164,223197,0
1448,212,212010,AP0212010_250422FTO_30518,Bank,25-04-2022,1,72632,64,70781,2,1851,70781,0
1449,212,212027,AP0212027_250422APB_FTO_30525,Bank,25-04-2022,1,55560,49,54420,1,1140,54420,0
1450,212,212027,AP0212027_250422APB_FTO_30534,Bank,25-04-2022,1,52950,50,52950,0,0,52950,0
1451,212,212010,AP0212010_250422APB_FTO_30536,Bank,25-04-2022,1,452706,441,451538,1,1168,451538,0
1452,212,212027,AP0212027_250422APB_FTO_30543,Bank,25-04-2022,1,55500,50,55500,0,0,55500,0
1453,212,212027,AP0212027_250422APB_FTO_30546,Bank,25-04-2022,1,47800,49,47205,1,595,47205,0
1454,212,212027,AP0212027_250422APB_FTO_30551,Bank,25-04-2022,1,59550,49,58396,1,1154,58396,0
1455,212,212027,AP0212027_250422APB_FTO_30553,Bank,25-04-2022,1,57700,49,56546,1,1154,56546,0
1456,212,212027,AP0212027_250422APB_FTO_30554,Bank,25-04-2022,1,50446,50,50446,0,0,50446,0
1457,212,212027,AP0212027_250422APB_FTO_30558,Bank,25-04-2022,1,52336,49,51158,1,1178,51158,0
1458,212,212012,AP0212012_250422FTO_30559,Bank,25-04-2022,1,3324,4,3324,0,0,3324,0
1459,212,212027,AP0212027_250422APB_FTO_30560,Bank,25-04-2022,1,29450,25,29450,0,0,29450,0
1460,212,212012,AP0212012_250422APB_FTO_30563,Bank,25-04-2022,1,61404,83,60799,1,605,60799,0
1461,212,212027,AP0212027_250422FTO_30565,Bank,25-04-2022,1,56038,49,55018,1,1020,55018,0
1462,212,212027,AP0212027_250422FTO_30568,Bank,25-04-2022,1,45006,38,42932,2,2074,42932,0
1463,212,212024,AP0212024_250422APB_FTO_30607,Bank,25-04-2022,1,259853,247,255851,4,4002,255851,0
1464,212,212024,AP0212024_250422APB_FTO_30617,Bank,25-04-2022,1,230440,226,227778,2,2662,227778,0
1465,212,212024,AP0212024_250422APB_FTO_30627,Bank,25-04-2022,1,249095,203,248389,1,706,248389,0
1466,212,212024,AP0212024_250422APB_FTO_30649,Bank,25-04-2022,1,279853,199,271624,6,8229,271624,0
1467,212,212028,AP0212028_250422FTO_30682,Bank,25-04-2022,1,105586,79,104232,1,1354,104232,0
1468,212,212028,AP0212028_250422APB_FTO_30713,Bank,25-04-2022,1,1002164,793,999604,2,2560,999604,0
1469,212,212022,AP0212022_250422APB_FTO_30717,Bank,25-04-2022,1,192159,175,179580,12,12579,179580,0
1470,212,212017,AP0212017_250422FTO_30731,Bank,25-04-2022,1,16232,14,16232,0,0,16232,0
1471,212,212002,AP0212002_250422FTO_30740,Bank,25-04-2022,1,20954,24,20954,0,0,20954,0
1472,212,212002,AP0212002_250422APB_FTO_30743,Bank,25-04-2022,1,198022,226,196348,2,1674,196348,0
1473,212,212017,AP0212017_250422APB_FTO_30745,Bank,25-04-2022,1,211473,186,210129,1,1344,210129,0
1474,212,212028,AP0212028_250422FTO_30768,Bank,25-04-2022,1,98931,82,98931,0,0,98931,0
1475,212,212024,AP0212024_250422APB_FTO_30799,Bank,25-04-2022,1,275247,205,269844,4,5403,269844,0
1476,212,212024,AP0212024_250422APB_FTO_30813,Bank,25-04-2022,1,291689,206,278142,10,13547,278142,0
1477,212,212024,AP0212024_250422APB_FTO_30823,Bank,25-04-2022,1,161350,131,158486,2,2864,158486,0
1478,212,212024,AP0212024_250422FTO_30867,Bank,25-04-2022,1,17494,14,17494,0,0,17494,0
1479,212,212028,AP0212028_250422APB_FTO_30882,Bank,25-04-2022,1,885977,712,873395,11,12582,873395,0
1480,212,212032,AP0212032_250422FTO_30929,Bank,25-04-2022,1,48339,45,48339,0,0,48339,0
1481,212,212032,AP0212032_250422APB_FTO_30947,Bank,25-04-2022,1,318479,284,314923,3,3556,314923,0
1482,212,212024,AP0212024_250422APB_FTO_30958,Bank,25-04-2022,1,308287,251,305733,2,2554,305733,0
1483,212,212023,AP0212023_250422FTO_31008,Bank,25-04-2022,1,37922,41,37922,0,0,37922,0
1484,212,212007,AP0212007_250422FTO_31018,Bank,25-04-2022,1,44775,50,43249,1,1526,43249,0
1485,212,212023,AP0212023_250422APB_FTO_31024,Bank,25-04-2022,1,85155,79,83831,1,1324,83831,0
1486,212,212023,AP0212023_250422APB_FTO_31032,Bank,25-04-2022,1,65703,79,65703,0,0,65703,0
1487,212,212016,AP0212016_250422FTO_31033,Bank,25-04-2022,1,53323,50,53323,0,0,53323,0
1488,212,212012,AP0212012_250422FTO_31034,Bank,25-04-2022,1,4353,5,4353,0,0,4353,0
1489,212,212025,AP0212025_250422FTO_31047,Bank,25-04-2022,1,6006,7,6006,0,0,6006,0
1490,212,212010,AP0212010_250422FTO_31048,Bank,26-04-2022,1,69117,68,67923,1,1194,67923,0
1491,212,212019,AP0212019_250422FTO_31052,Bank,26-04-2022,1,275631,220,266863,8,8768,266863,0
1492,212,212025,AP0212025_250422APB_FTO_31053,Bank,25-04-2022,1,18102,15,17454,1,648,17454,0
1493,212,212007,AP0212007_250422APB_FTO_31054,Bank,25-04-2022,1,546881,588,541855,5,5026,541855,0
1494,212,212023,AP0212023_250422APB_FTO_31057,Bank,25-04-2022,1,34463,43,34463,0,0,34463,0
1495,212,212016,AP0212016_250422APB_FTO_31060,Bank,25-04-2022,1,411423,396,407969,3,3454,407969,0
1496,212,212023,AP0212023_250422APB_FTO_31063,Bank,25-04-2022,1,73688,60,73688,0,0,73688,0
1497,212,212010,AP0212010_250422APB_FTO_31069,Bank,26-04-2022,1,510361,512,503129,7,7232,503129,0
1498,212,212023,AP0212023_250422APB_FTO_31075,Bank,25-04-2022,1,65978,71,64096,2,1882,64096,0
1499,212,212023,AP0212023_250422APB_FTO_31082,Bank,25-04-2022,1,19311,20,19311,0,0,19311,0
1500,212,212023,AP0212023_250422APB_FTO_31087,Bank,25-04-2022,1,41854,61,41854,0,0,41854,0
1501,212,212012,AP0212012_250422APB_FTO_31089,Bank,25-04-2022,1,184985,222,184985,0,0,184985,0
1502,212,212014,AP0212014_250422FTO_31094,Bank,25-04-2022,1,33020,24,29452,3,3568,29452,0
1503,212,212003,AP0212003_250422FTO_31133,Bank,26-04-2022,1,177842,177,174949,3,2893,174949,0
1504,212,212027,AP0212027_250422APB_FTO_31136,Bank,26-04-2022,1,54110,50,54110,0,0,54110,0
1505,212,212003,AP0212003_250422APB_FTO_31145,Bank,26-04-2022,1,811970,778,793650,18,18320,793650,0
1506,212,212021,AP0212021_250422FTO_31145,Bank,25-04-2022,1,64520,49,61854,2,2666,61854,0
1507,212,212003,AP0212003_250422APB_FTO_31148,Bank,26-04-2022,1,24006,26,22197,2,1809,22197,0
1508,212,212027,AP0212027_250422FTO_31153,Bank,26-04-2022,1,5695,6,5695,0,0,5695,0
1509,212,212021,AP0212021_250422APB_FTO_31158,Bank,25-04-2022,1,433069,333,428326,4,4743,428326,0
1510,212,212016,AP0212016_250422FTO_31170,Bank,25-04-2022,1,1114,1,1114,0,0,1114,0
1511,212,212016,AP0212016_250422APB_FTO_31171,Bank,25-04-2022,1,51567,46,51567,0,0,51567,0
1512,212,212029,AP0212029_250422FTO_31184,Bank,25-04-2022,1,71715,54,70411,1,1304,70411,0
1513,212,212029,AP0212029_250422APB_FTO_31195,Bank,25-04-2022,1,946567,719,926948,15,19619,926948,0
